date,ShortRate,ShortRate_Change,PolicyRate,PolicyRate_Change,RealGDP,RealGDP_Log,RealGDP_Log_Change,GDP Deflator_logged,GDP Deflators CPI Proxy,CPI,CPI Log Growth Rate
1975Q1,9.8013,-1.1520333333333337,10.5,-1.0,258116.0,12.461164375261484,0.00019373011905088333,2.6724280180808795,0.06991280640682573,6.0237474659716606,0.2965188608330134
1975Q2,9.3896,-0.41169999999999973,9.916666666666666,-0.5833333333333339,253935.0,12.44483360773946,-0.01633076752202456,2.736687762866891,0.06425974478601137,9.45096968041514,0.45040777962615053
1975Q3,10.430399999999999,1.040799999999999,11.0,1.083333333333334,253168.0,12.441808578958764,-0.003025028780696104,2.779089536796458,0.04240177392956701,4.39231345145996,-0.7662612775354725
1975Q4,11.056366666666667,0.6259666666666686,11.666666666666666,0.6666666666666661,255985.0,12.452874127995019,0.011065549036255007,2.8221257879512094,0.043036251154751515,3.44250537891466,-0.24365655626820693
1976Q1,8.7775,-2.2788666666666675,9.666666666666666,-2.0,260268.0,12.469467148350608,0.016593020355589516,2.854835466844884,0.03270967889367471,3.60526923965797,0.04619693889085097
1976Q2,10.644466666666666,1.8669666666666664,11.166666666666666,1.5,259911.0,12.468094543704705,-0.0013726046459030528,2.8827457483872037,0.02791028154231956,3.6582645549855095,0.01459241664410671
1976Q3,11.394800000000002,0.7503333333333355,12.0,0.8333333333333339,263132.0,12.480411086390337,0.01231654268563176,2.9066367206528705,0.023890972265666832,2.30256079190874,-0.4629669782918415
1976Q4,13.992433333333333,2.597633333333331,14.666666666666666,2.666666666666666,268662.0,12.501209362942753,0.02079827655241573,2.9455744819486473,0.03893776129577686,4.60664703407659,0.6934783765194468
1977Q1,10.423033333333334,-3.569399999999998,11.25,-3.416666666666666,268833.0,12.501845647952917,0.0006362850101648831,2.9813419729557573,0.035767491007109964,5.02714659159459,0.08735227725113703
1977Q2,7.4604,-2.9626333333333346,8.25,-3.0,266987.0,12.494955247058455,-0.0068904008944628,3.019528282026745,0.03818630907098752,4.461037717786709,-0.1194711340181025
